Identifikácia VS,01/26,02/26,03/26,04/26,05/26,06/26,07/26,08/26,09/26,10/26,11/26,12/26
0101,0,0,0,0,0,0,0,0,0,0,0,0
0102,0,0,0,0,0,0,0,0,0,0,0,0
0103,0,0,0,0,0,0,0,0,0,0,0,0
0104,0,0,0,0,0,0,0,0,0,0,0,0
0105,0,0,0,0,0,0,0,0,0,0,0,0
0106,0,0,0,0,0,0,0,0,0,0,0,0
0107,0,0,0,0,0,0,0,0,0,0,0,0
0108,0,0,0,0,0,0,0,0,0,0,0,0
0109,0,0,0,0,0,0,0,0,0,0,0,0
0110,0,0,0,0,0,0,0,0,0,0,0,0
0111,0,0,0,0,0,0,0,0,0,0,0,0
0201,0,0,0,0,0,0,0,0,0,0,0,0
0202,0,0,0,0,0,0,0,0,0,0,0,0
0203,0,0,0,0,0,0,0,0,0,0,0,0
0204,0,0,0,0,0,0,0,0,0,0,0,0
0205,0,0,0,0,0,0,0,0,0,0,0,0
0206,0,0,0,0,0,0,0,0,0,0,0,0
0207,0,0,0,0,0,0,0,0,0,0,0,0
0208,0,0,0,0,0,0,0,0,0,0,0,0
0209,0,0,0,0,0,0,0,0,0,0,0,0
0210,0,0,0,0,0,0,0,0,0,0,0,0
0211,0,0,0,0,0,0,0,0,0,0,0,0
0301,0,0,0,0,0,0,0,0,0,0,0,0
0302,0,0,0,0,0,0,0,0,0,0,0,0
0303,0,0,0,0,0,0,0,0,0,0,0,0
0304,0,0,0,0,0,0,0,0,0,0,0,0
0305,0,0,0,0,0,0,0,0,0,0,0,0
0306,0,0,0,0,0,0,0,0,0,0,0,0
0307,0,0,0,0,0,0,0,0,0,0,0,0
0308,0,0,0,0,0,0,0,0,0,0,0,0
0309,0,0,0,0,0,0,0,0,0,0,0,0
0310,0,0,0,0,0,0,0,0,0,0,0,0
0311,0,0,0,0,0,0,0,0,0,0,0,0
0401,0,0,0,0,0,0,0,0,0,0,0,0
0402,0,0,0,0,0,0,0,0,0,0,0,0
0403,0,0,0,0,0,0,0,0,0,0,0,0
0404,0,0,0,0,0,0,0,0,0,0,0,0
0405,0,0,0,0,0,0,0,0,0,0,0,0
0411,0,0,0,0,0,0,0,0,0,0,0,0
0501,0,0,0,0,0,0,0,0,0,0,0,0
0502,0,0,0,0,0,0,0,0,0,0,0,0
0511,0,0,0,0,0,0,0,0,0,0,0,0
0601,0,0,0,0,0,0,0,0,0,0,0,0
0611,0,0,0,0,0,0,0,0,0,0,0,0
0701,0,0,0,0,0,0,0,0,0,0,0,0
0711,0,0,0,0,0,0,0,0,0,0,0,0
0801,0,0,0,0,0,0,0,0,0,0,0,0
0811,0,0,0,0,0,0,0,0,0,0,0,0
0901,0,0,0,0,0,0,0,0,0,0,0,0
0911,0,0,0,0,0,0,0,0,0,0,0,0
